Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.3014,0.09909,3.257E+003,435.6,0.0998800,10.00
0.3014,0.07807,3.167E+003,420.8,0.101052,7.943
0.3014,0.07451,3.078E+003,401.3,0.100711,6.310
0.3014,0.05524,3.049E+003,392.7,0.100043,5.012
0.3014,0.04765,3.030E+003,387.8,0.100797,3.981
0.3014,0.04408,3.007E+003,380.7,0.100582,3.162
0.3014,0.02357,2.939E+003,372.8,0.0998035,2.512
0.3014,0.02830,2.932E+003,371.6,0.0997089,1.995
0.3014,9.993E-003,2.901E+003,361.0,0.100046,1.585
0.3014,-5.619E-003,2.830E+003,357.9,0.0997189,1.259
0.3014,-0.01394,2.791E+003,348.7,0.100949,1.000
0.3014,9.875E-003,2.728E+003,347.2,0.100136,0.7943
0.3014,-0.03138,2.682E+003,337.4,0.0997080,0.6310
0.3014,-0.03676,2.665E+003,350.8,0.0983677,0.5012
0.3014,-0.02360,2.628E+003,349.0,0.100593,0.3981
0.3014,-0.02046,2.562E+003,346.1,0.100275,0.3162
0.3014,-6.992E-003,2.531E+003,346.0,0.0999472,0.2512
0.3014,-0.02061,2.478E+003,357.5,0.0997927,0.1995
0.3014,-0.04319,2.473E+003,381.5,0.100151,0.1585
0.3014,-0.01056,2.500E+003,357.6,0.0925427,0.1259
0.3014,-0.02945,2.243E+003,344.0,0.0826062,0.1000
0.3014,-0.03325,2.542E+003,150.1,9.98478E-003,1.000
0.3014,-0.03421,2.479E+003,222.0,0.0121888,1.000
0.3014,-0.02980,2.535E+003,265.8,0.0158139,1.000
0.3014,-0.04269,2.708E+003,321.3,0.0201171,1.000
0.3014,-0.03472,2.642E+003,301.6,0.0251890,1.000
0.3014,-0.06062,2.774E+003,340.0,0.0311761,1.000
0.3014,-0.05353,2.688E+003,322.2,0.0397301,1.000
0.3014,-0.01898,2.655E+003,320.2,0.0501513,1.000
0.3014,-0.05400,2.703E+003,325.5,0.0644357,1.000
0.3014,-0.07681,2.703E+003,326.7,0.0784389,1.000
0.3014,-0.06856,2.715E+003,329.2,0.0989969,1.000
0.3014,-0.05292,2.708E+003,326.5,0.122126,1.000
0.3014,-0.06241,2.700E+003,327.4,0.159912,1.000
0.3014,-0.07507,2.713E+003,332.1,0.199164,1.000
0.3014,-0.02743,2.733E+003,337.1,0.250281,1.000
0.3014,-0.01346,2.750E+003,340.3,0.317475,1.000
0.3014,-0.02439,2.750E+003,342.3,0.397793,1.000
0.3014,-0.07286,2.758E+003,347.3,0.501533,1.000
0.3014,-0.07174,2.767E+003,353.1,0.632226,1.000
0.3014,-0.04417,2.779E+003,359.8,0.795263,1.000
0.3014,-0.05462,2.782E+003,367.7,0.997593,1.000
0.3014,-0.05269,2.775E+003,376.8,1.25832,1.000
0.3014,-0.03936,2.750E+003,386.2,1.58647,1.000
0.3014,-0.07814,2.694E+003,394.4,1.99605,1.000
0.3014,-0.02414,2.604E+003,403.2,2.51449,1.000
0.3014,-0.06166,2.507E+003,416.5,3.16492,1.000
0.3014,-0.02900,2.396E+003,437.3,3.98450,1.000
0.3014,-3.148E-003,2.240E+003,456.7,5.02132,1.000
0.3014,-0.05707,2.068E+003,481.4,6.32603,1.000
0.3014,0.01090,1.867E+003,504.2,7.97643,1.000
0.3014,5.962E-003,1.652E+003,524.6,10.0321,1.000
0.3014,0.01456,1.429E+003,542.2,12.6386,1.000
0.3014,0.02678,1.202E+003,556.3,15.9034,1.000
0.3014,0.04405,980.0,567.3,20.0102,1.000
0.3014,0.06260,775.2,568.9,25.1821,1.000
0.3014,0.07363,602.9,549.9,31.6794,1.000
0.3014,0.1070,465.4,512.8,39.7094,1.000
0.3014,0.1138,342.7,463.8,50.2272,1.000
0.3014,0.1371,251.9,409.1,63.0996,1.000
0.3014,0.1410,189.8,361.9,78.7070,1.000
0.3014,0.09180,142.7,319.6,96.1209,1.000
0.3014,0.1015,109.6,280.5,118.638,1.000
0.3014,0.08039,77.90,235.2,152.849,1.000
0.3014,0.09871,70.72,200.6,199.545,1.000
0.3014,0.1182,69.51,198.5,200.023,1.000
