Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1343,0.04751,208.6,66.33,0.0997048,10.00
0.1343,0.03307,198.0,62.46,0.100846,7.943
0.1343,0.02763,189.6,58.52,0.0992739,6.310
0.1343,0.02965,182.7,54.44,0.0999330,5.012
0.1343,0.02421,176.4,50.64,0.101565,3.981
0.1343,0.02710,170.9,46.80,0.100053,3.162
0.1343,0.02749,165.7,43.78,0.100972,2.512
0.1343,0.02319,160.9,40.68,0.101391,1.995
0.1343,0.01813,156.5,38.16,0.100814,1.585
0.1343,0.01693,152.2,35.58,0.100800,1.259
0.1343,0.01603,148.3,33.53,0.0992608,1.000
0.1343,0.01173,144.4,31.50,0.102707,0.7943
0.1343,0.01128,141.0,29.77,0.0988498,0.6310
0.1343,-9.709E-004,136.6,27.99,0.0984458,0.5012
0.1343,-8.424E-003,132.5,27.22,0.101105,0.3981
0.1343,-4.178E-003,130.5,26.08,0.100434,0.3162
0.1343,-5.050E-003,130.7,24.37,0.0990470,0.2512
0.1343,-6.021E-003,129.5,35.80,0.0898007,0.1995
0.1343,-0.01042,119.6,31.53,0.0814160,0.1585
0.1343,-0.01113,121.6,23.10,0.0746960,0.1259
0.1343,-0.01655,128.4,21.20,0.0660892,0.1000
0.1343,-0.01553,148.8,55.16,1.45783E-003,1.000
0.1343,-0.01448,154.2,35.93,0.0112720,1.000
0.1343,-0.01538,155.9,34.00,0.0144063,1.000
0.1343,-0.01841,156.0,33.21,0.0212007,1.000
0.1343,-0.01790,155.6,34.34,0.0261059,1.000
0.1343,-0.01873,155.9,34.00,0.0313148,1.000
0.1343,-0.02017,155.8,33.69,0.0386805,1.000
0.1343,-0.02113,156.2,33.56,0.0516068,1.000
0.1343,-0.01991,156.5,33.95,0.0645370,1.000
0.1343,-0.02205,156.7,33.78,0.0794563,1.000
0.1343,-0.01959,156.7,33.97,0.0984275,1.000
0.1343,-0.02400,156.5,33.84,0.127402,1.000
0.1343,-0.02472,157.1,33.96,0.160599,1.000
0.1343,-0.02754,157.2,34.19,0.198995,1.000
0.1343,-0.03207,157.1,34.30,0.251401,1.000
0.1343,-0.02787,157.3,34.31,0.315796,1.000
0.1343,-0.03397,156.7,34.65,0.398318,1.000
0.1343,-0.03285,155.9,34.76,0.501131,1.000
0.1343,-0.03609,154.4,35.14,0.630548,1.000
0.1343,-0.03983,152.0,35.66,0.795166,1.000
0.1343,-0.02221,148.9,35.97,0.999676,1.000
0.1343,-0.02929,145.7,36.44,1.25893,1.000
0.1343,-0.03327,140.7,37.01,1.58598,1.000
0.1343,-0.03677,134.4,37.39,1.99580,1.000
0.1343,-0.03763,127.0,37.60,2.51353,1.000
0.1343,-0.03551,119.1,37.54,3.16504,1.000
0.1343,-0.02767,110.8,37.40,3.98514,1.000
0.1343,-0.02614,102.0,37.17,5.01912,1.000
0.1343,-0.02589,93.12,36.52,6.32059,1.000
0.1343,-0.02336,83.86,35.41,7.95865,1.000
0.1343,-0.02614,74.92,34.06,10.0231,1.000
0.1343,-0.02610,66.40,32.52,12.6243,1.000
0.1343,-0.02685,58.20,30.82,15.9001,1.000
0.1343,-0.03075,50.88,29.18,20.0138,1.000
0.1343,-0.02668,44.28,27.62,25.1980,1.000
0.1343,-0.02639,38.46,26.28,31.7321,1.000
0.1343,-0.02706,33.40,25.11,39.9653,1.000
0.1343,-0.02841,29.09,24.23,50.2912,1.000
0.1343,-0.02899,25.47,23.73,63.2795,1.000
0.1343,-0.02709,22.46,23.64,79.5590,1.000
0.1343,-0.02586,19.91,23.95,100.012,1.000
0.1343,-0.02537,17.58,24.42,125.682,1.000
0.1343,-0.02154,15.14,24.59,158.104,1.000
0.1343,-0.01750,12.54,24.01,199.024,1.000
0.1343,-0.01656,13.03,24.85,199.539,1.000
