X,Y,Value
1129,73,255
1130,73,255
1131,73,255
1132,73,255
1121,74,255
1122,74,255
1123,74,255
1124,74,255
1125,74,255
1126,74,255
1127,74,255
1128,74,255
1129,74,255
1132,74,255
1133,74,255
1134,74,255
1135,74,255
1136,74,255
1137,74,255
1138,74,255
1139,74,255
1140,74,255
1141,74,255
192,75,255
193,75,255
194,75,255
195,75,255
196,75,255
197,75,255
198,75,255
199,75,255
200,75,255
1105,75,255
1106,75,255
1107,75,255
1108,75,255
1109,75,255
1110,75,255
1111,75,255
1112,75,255
1113,75,255
1114,75,255
1115,75,255
1116,75,255
1117,75,255
1118,75,255
1119,75,255
1120,75,255
1121,75,255
1141,75,255
1142,75,255
1143,75,255
1144,75,255
1145,75,255
1146,75,255
1147,75,255
1148,75,255
1149,75,255
1150,75,255
1151,75,255
1152,75,255
1153,75,255
1154,75,255
178,76,255
179,76,255
180,76,255
181,76,255
182,76,255
183,76,255
184,76,255
185,76,255
186,76,255
187,76,255
188,76,255
189,76,255
190,76,255
191,76,255
192,76,255
200,76,255
201,76,255
202,76,255
203,76,255
204,76,255
205,76,255
206,76,255
207,76,255
208,76,255
209,76,255
210,76,255
211,76,255
212,76,255
213,76,255
214,76,255
215,76,255
216,76,255
217,76,255
218,76,255
1090,76,255
1091,76,255
1092,76,255
1093,76,255
1094,76,255
1095,76,255
1096,76,255
1097,76,255
1098,76,255
1099,76,255
1100,76,255
1101,76,255
1102,76,255
1103,76,255
1104,76,255
1105,76,255
1154,76,255
1155,76,255
1156,76,255
1157,76,255
1158,76,255
1159,76,255
1160,76,255
1161,76,255
1162,76,255
1163,76,255
174,77,255
175,77,255
176,77,255
177,77,255
178,77,255
218,77,255
219,77,255
220,77,255
221,77,255
222,77,255
223,77,255
224,77,255
225,77,255
226,77,255
227,77,255
228,77,255
229,77,255
230,77,255
1090,77,255
1163,77,255
1164,77,255
1165,77,255
1166,77,255
1167,77,255
1168,77,255
1169,77,255
1170,77,255
1171,77,255
1172,77,255
162,78,255
163,78,255
164,78,255
165,78,255
166,78,255
167,78,255
168,78,255
169,78,255
170,78,255
171,78,255
172,78,255
173,78,255
174,78,255
230,78,255
231,78,255
232,78,255
233,78,255
234,78,255
235,78,255
236,78,255
1090,78,255
1172,78,255
2087,78,255
2088,78,255
2089,78,255
2090,78,255
2091,78,255
2092,78,255
2093,78,255
2094,78,255
2095,78,255
2096,78,255
2097,78,255
2098,78,255
2099,78,255
2100,78,255
2101,78,255
2102,78,255
2103,78,255
2111,78,255
2112,78,255
2113,78,255
2114,78,255
2115,78,255
162,79,255
236,79,255
237,79,255
238,79,255
239,79,255
240,79,255
241,79,255
1090,79,255
1091,79,255
1092,79,255
1093,79,255
1094,79,255
1095,79,255
1096,79,255
1097,79,255
1098,79,255
1169,79,255
1170,79,255
1171,79,255
1172,79,255
2080,79,255
2081,79,255
2082,79,255
2083,79,255
2084,79,255
2085,79,255
2086,79,255
2087,79,255
2103,79,255
2104,79,255
2105,79,255
2106,79,255
2107,79,255
2108,79,255
2109,79,255
2110,79,255
2111,79,255
2115,79,255
2116,79,255
2117,79,255
2118,79,255
2119,79,255
2120,79,255
2121,79,255
2122,79,255
2123,79,255
162,80,255
163,80,255
164,80,255
165,80,255
241,80,255
242,80,255
243,80,255
244,80,255
245,80,255
246,80,255
247,80,255
248,80,255
249,80,255
1098,80,255
1099,80,255
1100,80,255
1101,80,255
1102,80,255
