X,Y,Value
460,55,255
461,55,255
462,55,255
457,56,255
458,56,255
459,56,255
460,56,255
462,56,255
463,56,255
464,56,255
465,56,255
466,56,255
467,56,255
457,57,255
467,57,255
457,58,255
458,58,255
467,58,255
458,59,255
459,59,255
463,59,255
464,59,255
465,59,255
466,59,255
467,59,255
440,60,255
441,60,255
442,60,255
443,60,255
444,60,255
445,60,255
446,60,255
447,60,255
448,60,255
449,60,255
450,60,255
451,60,255
452,60,255
453,60,255
454,60,255
455,60,255
456,60,255
457,60,255
458,60,255
467,60,255
468,60,255
469,60,255
470,60,255
471,60,255
472,60,255
473,60,255
474,60,255
436,61,255
437,61,255
438,61,255
439,61,255
440,61,255
474,61,255
475,61,255
476,61,255
477,61,255
478,61,255
479,61,255
433,62,255
434,62,255
435,62,255
436,62,255
479,62,255
480,62,255
481,62,255
482,62,255
483,62,255
484,62,255
485,62,255
431,63,255
432,63,255
433,63,255
485,63,255
486,63,255
487,63,255
488,63,255
489,63,255
490,63,255
491,63,255
492,63,255
493,63,255
388,64,255
389,64,255
390,64,255
391,64,255
392,64,255
393,64,255
394,64,255
395,64,255
396,64,255
397,64,255
398,64,255
399,64,255
400,64,255
401,64,255
402,64,255
403,64,255
404,64,255
405,64,255
426,64,255
427,64,255
428,64,255
429,64,255
430,64,255
431,64,255
493,64,255
494,64,255
495,64,255
496,64,255
497,64,255
498,64,255
386,65,255
387,65,255
388,65,255
405,65,255
406,65,255
416,65,255
417,65,255
418,65,255
419,65,255
420,65,255
421,65,255
422,65,255
423,65,255
424,65,255
425,65,255
426,65,255
498,65,255
499,65,255
500,65,255
501,65,255
383,66,255
384,66,255
385,66,255
386,66,255
406,66,255
407,66,255
408,66,255
414,66,255
415,66,255
416,66,255
501,66,255
502,66,255
503,66,255
504,66,255
505,66,255
381,67,255
382,67,255
383,67,255
408,67,255
409,67,255
410,67,255
411,67,255
412,67,255
413,67,255
414,67,255
505,67,255
506,67,255
507,67,255
508,67,255
509,67,255
510,67,255
378,68,255
379,68,255
380,68,255
381,68,255
510,68,255
511,68,255
374,69,255
375,69,255
376,69,255
377,69,255
378,69,255
511,69,255
512,69,255
364,70,255
365,70,255
366,70,255
367,70,255
368,70,255
369,70,255
370,70,255
371,70,255
372,70,255
373,70,255
374,70,255
512,70,255
513,70,255
514,70,255
515,70,255
359,71,255
360,71,255
361,71,255
362,71,255
363,71,255
364,71,255
515,71,255
516,71,255
517,71,255
518,71,255
355,72,255
356,72,255
357,72,255
358,72,255
359,72,255
518,72,255
519,72,255
353,73,255
354,73,255
355,73,255
519,73,255
520,73,255
521,73,255
522,73,255
349,74,255
350,74,255
351,74,255
352,74,255
353,74,255
522,74,255
523,74,255
346,75,255
347,75,255
348,75,255
349,75,255
523,75,255
524,75,255
525,75,255
811,75,255
812,75,255
813,75,255
814,75,255
815,75,255
816,75,255
817,75,255
818,75,255
819,75,255
820,75,255
821,75,255
822,75,255
346,76,255
525,76,255
526,76,255
527,76,255
528,76,255
810,76,255
811,76,255
822,76,255
823,76,255
824,76,255
825,76,255
826,76,255
827,76,255
828,76,255
829,76,255
344,77,255
345,77,255
346,77,255
528,77,255
806,77,255
807,77,255
808,77,255
809,77,255
810,77,255
829,77,255
830,77,255
831,77,255
832,77,255
833,77,255
342,78,255
343,78,255
344,78,255
528,78,255
529,78,255
794,78,255
795,78,255
796,78,255
797,78,255
798,78,255
799,78,255
800,78,255
801,78,255
802,78,255
803,78,255
804,78,255
805,78,255
806,78,255
833,78,255
834,78,255
835,78,255
1968,78,255
1969,78,255
1970,78,255
1971,78,255
1972,78,255
1973,78,255
1974,78,255
2521,78,255
2522,78,255
2523,78,255
2524,78,255
2525,78,255
2526,78,255
2527,78,255
2538,78,255
2539,78,255
2540,78,255
2541,78,255
2542,78,255
2543,78,255
339,79,255
340,79,255
341,79,255
342,79,255
529,79,255
792,79,255
793,79,255
794,79,255
835,79,255
836,79,255
837,79,255
839,79,255
840,79,255
841,79,255
