Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.3080,0.07538,4.919E+003,672.3,0.0999816,10.00
0.3080,0.1105,4.871E+003,651.9,0.100563,7.943
0.3080,0.1167,4.797E+003,625.8,0.100248,6.310
0.3080,0.08089,4.685E+003,605.6,0.100473,5.012
0.3080,0.08119,4.603E+003,586.8,0.100977,3.981
0.3080,0.06525,4.529E+003,575.5,0.100304,3.162
0.3080,0.07112,4.457E+003,561.9,0.100008,2.512
0.3080,0.06824,4.376E+003,549.4,0.100393,1.995
0.3080,0.07319,4.307E+003,541.9,0.0998612,1.585
0.3080,0.06185,4.216E+003,529.2,0.102311,1.259
0.3080,0.02710,4.162E+003,529.5,0.101261,1.000
0.3080,0.02166,4.088E+003,543.2,0.100884,0.7943
0.3080,0.03670,3.996E+003,543.5,0.100473,0.6310
0.3080,0.06089,3.937E+003,526.7,0.100132,0.5012
0.3080,0.05452,3.827E+003,512.4,0.101535,0.3981
0.3080,0.02796,3.742E+003,509.7,0.0994600,0.3162
0.3080,0.03840,3.676E+003,525.0,0.0998019,0.2512
0.3080,0.04494,3.645E+003,504.8,0.0989734,0.1995
0.3080,0.01725,3.506E+003,482.5,0.104901,0.1585
0.3080,0.03001,3.736E+003,603.2,0.0889590,0.1259
0.3080,0.03524,3.155E+003,483.2,0.0794128,0.1000
0.3080,-0.01197,3.192E+003,848.9,4.07938E-004,1.000
0.3080,0.03124,4.067E+003,712.2,0.0102957,1.000
0.3080,0.03240,4.075E+003,615.6,0.0161060,1.000
0.3080,0.03607,3.819E+003,522.0,0.0197618,1.000
0.3080,5.786E-003,3.968E+003,512.8,0.0246862,1.000
0.3080,0.02859,3.877E+003,480.3,0.0315385,1.000
0.3080,0.02007,4.009E+003,494.7,0.0396632,1.000
0.3080,0.01437,4.003E+003,482.4,0.0501075,1.000
0.3080,0.01317,4.059E+003,490.3,0.0634157,1.000
0.3080,0.02300,4.081E+003,491.4,0.0801800,1.000
0.3080,-4.442E-003,4.092E+003,490.8,0.0997420,1.000
0.3080,0.02168,4.102E+003,497.2,0.125831,1.000
0.3080,0.01669,4.079E+003,495.5,0.157461,1.000
0.3080,2.697E-003,4.059E+003,489.2,0.199587,1.000
0.3080,0.01361,4.045E+003,490.0,0.250610,1.000
0.3080,0.01283,4.041E+003,491.5,0.316585,1.000
0.3080,0.03450,4.040E+003,495.0,0.397254,1.000
0.3080,0.02258,4.033E+003,499.8,0.502646,1.000
0.3080,0.05522,4.028E+003,505.2,0.630601,1.000
0.3080,7.816E-003,4.022E+003,512.0,0.794789,1.000
0.3080,0.05470,4.011E+003,522.2,1.00115,1.000
0.3080,0.04801,3.977E+003,531.9,1.25817,1.000
0.3080,0.04178,3.909E+003,541.1,1.58618,1.000
0.3080,0.05951,3.809E+003,552.9,1.99895,1.000
0.3080,0.03870,3.689E+003,569.7,2.51339,1.000
0.3080,0.08119,3.532E+003,591.2,3.16740,1.000
0.3080,0.03377,3.347E+003,621.2,3.98519,1.000
0.3080,0.06776,3.112E+003,653.2,5.02109,1.000
0.3080,0.05182,2.845E+003,687.0,6.32420,1.000
0.3080,0.1199,2.548E+003,715.5,7.96148,1.000
0.3080,0.1105,2.237E+003,736.1,10.0356,1.000
0.3080,0.1338,1.923E+003,747.1,12.6380,1.000
0.3080,0.1640,1.616E+003,749.6,15.9119,1.000
0.3080,0.2080,1.322E+003,744.5,20.0338,1.000
0.3080,0.1879,1.051E+003,729.1,25.2102,1.000
0.3080,0.2241,813.5,700.4,31.7240,1.000
0.3080,0.2172,617.2,658.1,39.8033,1.000
0.3080,0.1856,447.2,609.0,49.5925,1.000
0.3080,0.2308,380.7,523.3,63.0984,1.000
0.3080,0.1661,295.7,466.6,79.4416,1.000
0.3080,0.1970,226.9,411.2,99.9991,1.000
0.3080,0.1866,173.6,357.9,125.894,1.000
0.3080,0.2236,132.6,308.7,158.485,1.000
0.3080,0.1716,101.4,264.7,199.520,1.000
0.3080,0.1056,98.62,259.1,200.010,1.000
