Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.3610,0.06903,1.369E+003,154.0,0.0998787,10.00
0.3610,0.06153,1.337E+003,150.2,0.100663,7.943
0.3610,0.05624,1.311E+003,145.4,0.100467,6.310
0.3610,0.05178,1.288E+003,141.3,0.100601,5.012
0.3610,0.04827,1.269E+003,136.8,0.100807,3.981
0.3610,0.04493,1.251E+003,132.8,0.100248,3.162
0.3610,0.04170,1.234E+003,129.1,0.100100,2.512
0.3610,0.03880,1.218E+003,126.6,0.100202,1.995
0.3610,0.03595,1.203E+003,124.4,0.0997477,1.585
0.3610,0.03371,1.188E+003,121.4,0.100248,1.259
0.3610,0.03119,1.173E+003,120.7,0.0999922,1.000
0.3610,0.02910,1.160E+003,118.3,0.0999267,0.7943
0.3610,0.02721,1.144E+003,117.1,0.100283,0.6310
0.3610,0.02524,1.131E+003,115.6,0.0996736,0.5012
0.3610,0.02366,1.115E+003,114.1,0.100537,0.3981
0.3610,0.02149,1.100E+003,114.2,0.100027,0.3162
0.3610,0.01913,1.085E+003,115.5,0.0993422,0.2512
0.3610,0.01674,1.069E+003,130.0,0.0994864,0.1995
0.3610,0.01604,1.107E+003,128.5,0.101976,0.1585
0.3610,0.01706,1.020E+003,112.6,0.0946422,0.1259
0.3610,0.01815,980.4,133.7,0.0838989,0.1000
0.3610,0.01692,1.136E+003,163.9,1.93260E-003,1.000
0.3610,0.01502,1.200E+003,122.6,0.0123231,1.000
0.3610,0.01357,1.201E+003,118.1,0.0159106,1.000
0.3610,0.01319,1.203E+003,116.0,0.0202625,1.000
0.3610,0.01159,1.203E+003,116.8,0.0253908,1.000
0.3610,9.924E-003,1.205E+003,118.1,0.0314412,1.000
0.3610,9.601E-003,1.201E+003,111.7,0.0395836,1.000
0.3610,8.522E-003,1.204E+003,117.1,0.0503325,1.000
0.3610,7.178E-003,1.204E+003,117.3,0.0632318,1.000
0.3610,5.786E-003,1.204E+003,116.8,0.0794121,1.000
0.3610,5.521E-003,1.204E+003,116.8,0.100337,1.000
0.3610,4.648E-003,1.205E+003,116.9,0.125872,1.000
0.3610,3.344E-003,1.203E+003,116.7,0.158444,1.000
0.3610,2.971E-003,1.203E+003,116.8,0.199920,1.000
0.3610,1.785E-003,1.202E+003,116.8,0.250653,1.000
0.3610,1.814E-003,1.202E+003,116.9,0.316397,1.000
0.3610,9.709E-004,1.199E+003,117.2,0.398322,1.000
0.3610,9.414E-004,1.195E+003,117.4,0.500727,1.000
0.3610,5.099E-004,1.189E+003,117.6,0.631837,1.000
0.3610,7.649E-004,1.179E+003,117.9,0.794140,1.000
0.3610,-1.098E-003,1.166E+003,118.2,1.00013,1.000
0.3610,-1.294E-003,1.151E+003,118.9,1.25963,1.000
0.3610,-2.187E-003,1.138E+003,120.5,1.58429,1.000
0.3610,-4.413E-003,1.128E+003,124.3,1.99709,1.000
0.3610,-3.011E-003,1.109E+003,129.2,2.51336,1.000
0.3610,-3.991E-003,1.075E+003,134.9,3.16436,1.000
0.3610,-3.187E-003,1.032E+003,144.4,3.98886,1.000
0.3610,-3.226E-003,974.0,158.4,5.01799,1.000
0.3610,-2.913E-003,900.0,180.3,6.32617,1.000
0.3610,-1.383E-003,803.5,209.4,7.97335,1.000
0.3610,0.000,688.9,245.1,10.0411,1.000
0.3610,1.569E-003,565.1,279.5,12.6391,1.000
0.3610,2.716E-003,446.1,302.7,15.8966,1.000
0.3610,3.462E-003,342.8,307.7,19.9415,1.000
0.3610,4.325E-003,263.8,297.3,24.1496,1.000
0.3610,5.217E-003,193.6,268.7,31.0112,1.000
0.3610,6.374E-003,141.5,237.5,38.8283,1.000
0.3610,6.698E-003,110.1,211.7,48.5592,1.000
0.3610,7.394E-003,79.35,180.7,62.6969,1.000
0.3610,7.581E-003,58.87,156.3,78.9247,1.000
0.3610,9.709E-003,41.75,130.2,100.970,1.000
0.3610,0.01008,31.44,113.8,124.866,1.000
0.3610,0.01046,22.69,96.20,157.718,1.000
0.3610,0.01287,16.55,81.14,199.446,1.000
0.3610,0.01190,16.33,80.04,200.117,1.000
