Strain,Temp,Week,RMS,Wavelength
2125,50C,week8,18.439163596991676,4583.0
2125,50C,week8,17.375764830026178,916.6
2125,50C,week8,25.39569420135799,4583.0
2125,50C,week8,11.594275616531258,4583.0
2125,50C,week8,19.543862599637254,4583.0
2125,50C,week8,16.454092128437278,4294.0
2107,50C,week8,1.6690166245593707,2400.0
2107,50C,week8,2.214691653508144,118.99999999999999
2107,50C,week8,1.9535436106954176,2400.0
2125,50C,week8,7.08127000476206,4583.0
2125,50C,week8,12.573625799002873,4583.0
2125,50C,week8,13.220411209311512,4583.0
2109,50C,week8,1.5130622631292385,2529.0
2109,50C,week8,1.9912404378208066,2688.0
2109,50C,week8,4.733718393210944,3818.0
3610,50C,week8,1.4287942100761937,4583.0
3610,50C,week8,20.680049832894294,4583.0
3610,50C,week8,2.2659774862362214,4583.0
3610,50C,week8,4.893136254558762,4583.0
3610,50C,week8,23.452706001102577,4104.0
3610,50C,week8,19.758939465032,3601.0
3610,50C,week8,11.207504352186477,1527.6666666666665
3610,50C,week8,12.287115871361001,2291.5
3610,50C,week8,7.312851404182325,4583.0
2103,50C,week8,25.660124320605075,4490.0
3610,50C,week8,1.1681037460105272,4583.0
2103,50C,week8,9.635253138096747,4490.0
3610,50C,week8,1.1443801595803031,4583.0
3610,50C,week8,1.7405627448825793,4583.0
2103,50C,week8,22.884729943327816,4490.0
2106,50C,week6,2.497448406841395,1609.0
2106,50C,week6,3.2161651239827704,2656.0
2106,50C,week6,3.0606085308010624,2656.0
2106,50C,week6,2.5587680432621123,3123.0000000000005
2106,50C,week6,2.882095017336443,2302.0
2106,50C,week6,1.789352843861251,3143.0
2107,50C,week6,11.749667263722941,3176.0
2107,50C,week6,13.98590754791172,3534.0
2107,50C,week6,6.564712186705503,3190.0
2106,50C,week6,3.686716362371916,1595.0
2106,50C,week6,3.418586638309767,3190.0
2106,50C,week6,5.761776886420446,3000.0
2107,50C,week6,4.31766000721689,2674.0
2103,50C,week6,15.099295086493367,3677.0
2103,50C,week6,12.023285795828766,3677.0
2103,50C,week6,12.03948031985121,3677.0
2103,50C,week6,2.730612846211395,3677.0
2103,50C,week6,15.258508930684615,3677.0
2103,50C,week6,13.177491280641808,2632.0
2103,50C,week6,7.76562761870759,3677.0
2103,50C,week6,5.068346927455986,3677.0
2103,50C,week6,12.291636598531761,3677.0
2109,50C,week7,27.03846550043504,2856.0
2109,50C,week7,2.756043106133798,2707.0
2109,50C,week7,8.5829647885147,2856.0
2109,50C,week7,1.4175096851920426,1353.5
2109,50C,week7,24.998437839278402,3743.9999999999995
2109,50C,week7,6.434094822687778,2856.0
2108,50C,week7,15.083295827574293,4527.0
2108,50C,week7,6.747407852893241,4527.0
2108,50C,week7,6.3226696833163505,502.99999999999994
3610,50C,week7,7.075447676746487,4407.0
3610,50C,week7,7.935502543509924,4527.0
2108,50C,week7,6.2048253109574905,4495.0
2108,50C,week7,4.2546388763141145,4527.0
2108,50C,week7,7.718134713944859,4527.0
3610,50C,week7,11.113363784608003,4527.0
2109,50C,week7,2.1814333296294715,2726.0
2109,50C,week7,16.755857740553065,4396.0
2109,50C,week7,1.3392514176532608,1363.0
2108,50C,week7,17.454375834021935,1509.0
2108,50C,week7,6.101642696062068,4527.0
2108,50C,week7,8.449636264446383,4527.0
3610,30C,week8,17.61291997935934,510.85714285714283
3610,30C,week8,23.891293628267633,3576.0
3610,30C,week8,19.26292354246807,1820.0
2107,30C,week5,11.059010484960274,1308.0
2107,30C,week5,13.500654748593993,2616.0
2107,30C,week5,13.725357845058154,2799.0
2107,30C,week5,8.452223389781345,2799.0
2107,30C,week5,9.626359268827477,327.0
2107,30C,week5,6.952630544434629,2799.0
2107,30C,week5,20.040518754788284,373.7142857142857
2107,30C,week5,7.897658601439474,2616.0
2107,30C,week5,7.303154516662728,2216.0
2108,30C,week5,24.640098660009773,1236.5
2108,30C,week5,28.02004232405691,2397.0
2108,30C,week5,13.642583820058618,2473.0
3610,30C,week5,34.238691745997954,1117.0
3610,30C,week5,32.258316000120466,3371.0
2108,30C,week5,20.019543957873573,2473.0
2108,30C,week5,19.953618360272205,1203.5
2108,30C,week5,18.725257982982328,479.4
3610,30C,week5,31.500826612975608,842.75
2108,30C,week5,20.2224095980807,2397.0
2108,30C,week5,19.732690084988345,342.42857142857144
2108,30C,week5,16.10899850222482,623.25
2106,30C,week4,10.655882752119915,2272.0
2106,30C,week4,12.208527702575527,2350.0
2106,30C,week4,9.666751303334804,587.5
2106,30C,week4,11.656914147557217,290.0
2106,30C,week4,9.821961678578996,2368.0
2106,30C,week4,11.232716945613653,780.0
2106,30C,week4,12.203202252937297,334.28571428571433
2106,30C,week4,15.182547469315884,298.7142857142857
2106,30C,week4,11.249276531739124,374.0
2103,30C,week4,20.71836708230369,1199.0
2103,30C,week4,21.63020621525465,2350.0
2103,30C,week4,20.03134417355908,1227.5
2103,30C,week4,18.693448407435056,2445.0
2103,30C,week4,14.771129631103797,458.8
2103,30C,week4,14.724468577376753,254.88888888888889
2125,30C,reading_week,15.205282132418454,1101.0
2125,30C,reading_week,14.495251045107674,1823.0259009009008
2125,30C,reading_week,12.227150162356203,2284.0
2125,30C,reading_week,13.049579950811864,425.6
2125,30C,reading_week,20.694143456670705,756.6666666666667
2125,30C,reading_week,18.304525188644167,371.66666666666663
2125,30C,reading_week,3.119608236268515,2188.0
2125,30C,reading_week,4.2185340598828756,2270.0
2125,30C,reading_week,5.121935541998355,2216.0
2109,30C,reading_week,16.24784688696174,2827.0
2109,30C,reading_week,13.534678038948712,2482.0
2109,30C,reading_week,14.808670736681847,565.4000000000001
2109,30C,reading_week,11.982209750462964,402.66666666666663
2109,30C,reading_week,10.328656986761501,2566.0
2109,30C,reading_week,14.289266978268667,2827.0
3610,30C,reading_week,16.515234699308273,248.93333333333334
3610,30C,reading_week,19.96247634284856,488.85714285714283
3610,30C,reading_week,16.864464876138893,274.07692307692304
2109,30C,reading_week,13.999224284671351,2374.0
2109,30C,reading_week,15.360405484305714,1337.0
2109,30C,reading_week,12.826753067584217,2674.0
3610,30C,week3,1.8076656348818552,25.066666666666666
3610,30C,week3,1.7154108632952865,87.0
3610,30C,week3,1.6436315402117532,43.5
2103,30C,week3,3.852254908771079,145.0
2103,30C,week3,4.275383732977576,108.75
2103,30C,week3,2.630407471623429,87.0
